species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,name,lat,lon
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,David Heath,-64.46777181344832,-63.7286124165512
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,Brandon Delacruz,-64.46401675272696,-63.73802375975826
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,Alyssa Leonard,-64.46516453390778,-63.7281766810115
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,Marie Hampton,-64.49551854703097,-63.698719910170745
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,Danny Garner,-64.46870006959425,-63.74938158398078
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,Michele White,-64.46903508189274,-63.75428384557261
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,Michael Cruz,-64.46858479606522,-63.72172931171136
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,Kara Webster,-64.48205184364443,-63.71686520121944
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,Jonathan Poole,-64.4983480644107,-63.72511268727394
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,Christopher Fields,-64.4367077652315,-63.70324399484685
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,Scott Hill,-64.50852149012664,-63.71024219322183
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,Kimberly Moore,-64.46202808107009,-63.72095856760521
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,Melanie Tucker,-64.70290993390877,-64.22549846241893
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,Jackie Haley,-64.69078088711093,-64.2696215013823
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,Robert Johnson,-64.70588939974857,-64.18716900131051
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,Andrea Anderson,-64.7251247655777,-64.21306321985956
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,Sue Parker,-64.76650081303397,-64.23362748609208
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,John Jacobs,-64.69408252333602,-64.20851172915123
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,Gregory Castaneda,-64.74094523228227,-64.21130304008479
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,Heather Meyers,-64.7282834487118,-64.23870489805877
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,Mrs. Alexis Torres DVM,-64.72416818232654,-64.24665884738563
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,Craig Sparks,-64.70304970971509,-64.17513395414544
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,Samuel Perez,-64.70687428083983,-64.23122547574276
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,Kristopher Rodriguez,-64.6959000154411,-64.21105853021784
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,Jessica Townsend,-64.70964398179754,-64.19512585614396
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,Angela Carson,-64.69644200545923,-64.1863251743298
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,Dana Garza,-64.73303104882962,-64.24631006906695
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,Joshua Walton,-64.67915462787845,-64.21204736512925
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,Joseph Anderson,-64.72071112895844,-63.789023854603606
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,Lori Greer,-64.71871466458927,-63.79813195086886
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,Patrick Davis,-64.74571904491482,-63.798991033306145
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,Crystal Valenzuela,-64.71021168216014,-63.79898494334078
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,John Ruiz,-64.76392030995278,-63.74321873041621
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,Austin Wade,-64.72322351570517,-63.75838391077625
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,Heather Roach,-64.74906525794692,-63.78271487910537
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,Donald Gibson,-64.73205324257306,-63.7887057767138
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,Peggy Chen,-64.7076634999673,-63.77721089231706
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,Jerry Smith,-64.76152823273347,-63.76042201149694
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,James Sanchez,-64.71619957698131,-63.815446525019986
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,Jorge Patton,-64.73710924534365,-63.77477931688149
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,Sydney Simmons,-64.74130231476693,-63.771599167742444
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,Victor Henderson,-64.73168632293863,-63.758469146297806
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,Roger Grant,-64.74350088953459,-63.768613949737926
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,Meredith Bautista,-64.72378190590229,-63.76671583719836
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,Tony Weaver,-64.45677776675853,-63.76748560774106
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,Elizabeth Sanchez,-64.47341107281972,-63.74756606459979
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,Christopher Yu,-64.47861596681629,-63.72715977007357
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,David Schultz,-64.47977943228908,-63.71932746765772
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,Daniel King,-64.49118524122994,-63.73679290077623
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,Adam Singh,-64.45537241182184,-63.72417160608163
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,Emily Nolan,-64.46319385949496,-63.74033891744751
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,Connie Hanna,-64.47557874954342,-63.70076931793274
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,Robert Velasquez,-64.45952736208581,-63.72220924375178
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,Ryan Fisher,-64.45060360093909,-63.73602933345739
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,Theresa Hayes,-64.48441373169823,-63.69254333766417
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,Anthony Mcclure,-64.4816905618276,-63.7404767003797
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,Michael Davidson,-64.46244333743992,-63.692820569234414
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,Taylor Boyle,-64.45889240139506,-63.75625475901653
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,Susan Parker,-64.45110636309126,-63.71041799352861
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,Mark Johnson,-64.4797495948503,-63.7384400861263
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,Erika Coleman,-64.70780600265749,-64.23577747524367
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,Frank Medina,-64.68959954285857,-64.23284373547627
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,Alexis Cooper,-64.7072542741186,-64.20120200958905
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,Tyler Gonzales,-64.74611655553066,-64.21796737977382
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,Timothy Hughes,-64.71828050113281,-64.24435240026551
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,James Young,-64.74434480582896,-64.2123680637683
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,Donna Hicks,-64.6999163172982,-64.19913196486873
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,Pamela Singh,-64.742009434709,-64.1980354526496
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,Dr. Tracy Pace,-64.73784199459394,-64.21075248758711
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,Jordan Ward,-64.73313088178357,-64.21408565034426
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,Kara Adkins,-64.72300629712528,-64.2402695281776
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,Jacob Smith,-64.70601074669983,-64.19850129444373
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,Donna Snyder,-64.67982543177898,-64.18586806721467
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,Sandra Duffy,-64.73880589003393,-64.21233941584462
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,Crystal Mcfarland,-64.70440005428696,-64.19721842278861
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,Jason Buckley,-64.73233387489722,-64.2674624359656
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,Linda Oneill,-64.70333250083351,-64.21253320697448
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,Andrew Phillips,-64.73522379120008,-64.20431287025467
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,Amanda Nguyen,-64.68044147635663,-64.23362175906378
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,Christine Savage,-64.72785127668503,-64.22033625638142
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,Bradley Bright,-64.67584080607371,-64.23077162284733
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,Daniel Ortiz,-64.70193732771034,-64.22149280582784
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,Gabriela Hudson,-64.69943310685335,-64.21115852385307
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,Lisa Guerra,-64.72182024617175,-64.22208893526755
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,Joshua Smith,-64.70604825080027,-64.22491080881997
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,Allison Davis,-64.72410912430722,-64.24374650360404
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,Marc Smith,-64.70464723158565,-64.24907852704352
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,Ashley Morris,-64.7134320877834,-64.24743906494298
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,Nicholas Guerra,-64.69148946990045,-64.22643702692862
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,Erica Wright,-64.75126713422488,-64.23279294264452
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,Ruth Schmitt,-64.7363079789432,-64.21748130947822
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,Shawn Byrd,-64.70752766095518,-64.20583159073148
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,Kayla Mueller,-64.68488346053971,-64.24855666423856
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,Mr. John Williams DDS,-64.74255196560514,-64.19584985011625
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,Christopher Mcguire,-64.7218163160092,-64.2170469502223
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,Emily Leblanc,-64.71949711255452,-64.20187244080076
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,Jessica Payne,-64.69819369784429,-64.23053154739537
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,Howard Huerta,-64.71847227848522,-64.18409940993661
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,Wendy Johnson,-64.72708203199018,-64.23525841408792
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,Antonio Jones,-64.73164055401563,-64.22237340436611
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,Virginia Juarez,-64.71523461566585,-64.24303877417557
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,Jane Reyes,-64.73092686583496,-64.2326573235995
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,James Martinez,-64.70682164805936,-64.20130479068018
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,Kimberly Gray,-64.75773470110417,-64.1807807300562
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,Elizabeth Brennan,-64.7109918083014,-64.26823497053427
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,Lori Wheeler,-64.6950112800755,-64.20088352895267
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,Stephanie Cowan,-64.71613184200028,-64.21443586685362
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,Toni Sanchez,-64.71450365277079,-64.26727839468714
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,Sophia Fields,-64.71272588882587,-64.22471427080421
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,Stephen Gray,-64.72131754841438,-64.23710942707298
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,Trevor Miller,-64.76727446091999,-64.21983632397522
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,Courtney Booth,-64.69953776429638,-64.20025367375442
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,Brian Tucker,-64.73522261290476,-64.22333415674645
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,Paul Campbell,-64.75112892540565,-64.16311579872333
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,Edward Pierce,-64.69323494247006,-64.19819208311716
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,Justin Hoover,-64.704874879728,-64.22739660903227
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,Dawn Castillo,-64.72003645717824,-64.22631313990158
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,John Hodges,-64.69585596632837,-64.20560315858724
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,Matthew Morse,-64.77010139703384,-64.2039750612382
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,Fernando Maldonado,-64.72994223053392,-64.20698363893044
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,Derrick Williamson,-64.69679367004936,-64.21961240058006
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,Carol Gonzalez,-64.70892144601693,-64.2197618425142
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,Sean Gonzalez DDS,-64.75391647943773,-64.22017159120234
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,Diana Gutierrez,-64.7155386930267,-64.23163672188666
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,Ashley Payne,-64.72469027418065,-64.2095331167979
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,Brian Perry,-64.7125240111489,-64.18269528484895
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,Jamie Johnson,-64.71899940214259,-64.2583705626094
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,Regina Russo,-64.70772880859762,-64.24549175343392
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,Darlene Mcbride,-64.7219014994745,-64.22265995340733
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,Miguel Ruiz,-64.73646850442827,-64.20185800081877
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,Jennifer Chung,-64.7303269358389,-64.22358415733602
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,Robert White,-64.68122297242566,-64.22102306111258
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,Christine Ortiz,-64.70234689295269,-64.22338397784895
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,Maurice Ray,-64.71168081549995,-64.19907798765188
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,Timothy Williams,-64.72779769737197,-64.1957056501741
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,Carlos Rodriguez,-64.73534313267164,-64.24100445820936
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,Tony Johnson,-64.69846577729872,-64.22097203219737
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,Laura Huff,-64.73025380138282,-64.23421843963662
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,Barbara Bradshaw,-64.74276755016506,-64.17897066993378
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,Bryan Young,-64.72749613937079,-64.21518810413403
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,Laura Norris,-64.74113039613123,-64.23659761046854
Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,John Nguyen,-64.6967314076773,-64.23756373165288
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,Laura Lyons,-64.69627048648192,-64.2166103596511
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,Brian Davis,-64.76209352821014,-64.22136840261001
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,Noah Harris,-64.73157833364164,-64.20812654215334
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,Glenn Anderson,-64.70021098267722,-64.21796597259447
Chinstrap,Dream,50.8,19.0,210.0,4100.0,Male,John Lowery,-64.7088653515142,-64.25408967876471
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,Jessica Carter,-64.74569508766014,-64.20717895732626
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,Harold Schmidt,-64.7418340080938,-63.81319865999834
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,Angela Lee,-64.72149262201768,-63.80481892011311
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,Keith Jones,-64.75129243344088,-63.771569875009675
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,Juan Smith,-64.73593585909529,-63.775916551090134
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,Megan Mcdonald,-64.7223987649494,-63.82970213017697
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,Karen Landry MD,-64.7360457403477,-63.78953139574684
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,Jason Schmidt,-64.7047008024939,-63.782441571005286
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,Beth Fletcher,-64.74467240017597,-63.81535340728834
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,Female,Tony Robles,-64.7519466734451,-63.79928626032673
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,Amanda Brown,-64.76746603220016,-63.78469513793402
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,Jeremy Johnson,-64.71463450583182,-63.809131395550736
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,Anthony Mcknight,-64.76048907301424,-63.80324676932677
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,Dean Hernandez,-64.71585713304093,-63.78917648411919
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,Brian Robles,-64.76675778009137,-63.80854675401815
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,Robin Jones,-64.73587702602512,-63.78455587212494
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,Sarah Foster,-64.74955632298749,-63.79877338763031
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,Alexandria Stone,-64.72441349555457,-63.793631632868866
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,Male,Jessica Garcia,-64.72565570160013,-63.793728300211924
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,Female,Robin Mitchell,-64.75596105282881,-63.809348172115385
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,Carol Gilbert,-64.74851153897254,-63.788384895486566
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,Linda Gonzales,-64.73408086247986,-63.83386025261919
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,Jennifer Jones,-64.752111450615,-63.77833941412507
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,Chase Maxwell,-64.76234310081308,-63.78605459559492
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,Vincent Ray,-64.72293121847277,-63.800667674889766
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,Female,Tony Fritz,-64.75028529332675,-63.7760333784201
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,Justin Hall,-64.73976841412079,-63.78491103904408
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,Male,Dalton Thompson,-64.77619611554596,-63.755909217454885
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,Tracy Clark,-64.73349917672437,-63.7301650430437
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,Male,Anthony Mann,-64.73779246951177,-63.787160288451695
